id,running,name,acct_name,announcement_date,week_before,week_after,followers_today,day_from_event,followers,follower_inc,pct_change_followers,video,watch
5,1, Kirsten Gillibrand, SenGillibrand ,16-Jan,9-Jan,23-Jan,"1,372,818",-7," 1,300,000 ",952,,0,0
5,1, Kirsten Gillibrand, SenGillibrand ,16-Jan,9-Jan,23-Jan,"1,372,819",-6," 1,310,000 ",823, 0.00 ,0,0
5,1, Kirsten Gillibrand, SenGillibrand ,16-Jan,9-Jan,23-Jan,"1,372,820",-5," 1,310,000 ",664, 0.00 ,0,0
5,1, Kirsten Gillibrand, SenGillibrand ,16-Jan,9-Jan,23-Jan,"1,372,821",-4," 1,310,000 ",727, 0.00 ,0,0
5,1, Kirsten Gillibrand, SenGillibrand ,16-Jan,9-Jan,23-Jan,"1,372,822",-3," 1,310,000 ",750, 0.00 ,0,0
5,1, Kirsten Gillibrand, SenGillibrand ,16-Jan,9-Jan,23-Jan,"1,372,823",-2," 1,310,000 ",810, 0.00 ,0,0
5,1, Kirsten Gillibrand, SenGillibrand ,16-Jan,9-Jan,23-Jan,"1,372,824",-1," 1,310,000 ",-137, (0.00),0,0
5,1, Kirsten Gillibrand, SenGillibrand ,16-Jan,9-Jan,23-Jan,"1,372,825",0," 1,320,000 ","6,640", 0.01 ,0,0
5,1, Kirsten Gillibrand, SenGillibrand ,16-Jan,9-Jan,23-Jan,"1,372,826",1," 1,320,000 ","4,680", 0.00 ,0,0
5,1, Kirsten Gillibrand, SenGillibrand ,16-Jan,9-Jan,23-Jan,"1,372,827",2," 1,320,000 ","2,500", 0.00 ,0,0
5,1, Kirsten Gillibrand, SenGillibrand ,16-Jan,9-Jan,23-Jan,"1,372,828",3," 1,320,000 ","1,370", 0.00 ,0,0
5,1, Kirsten Gillibrand, SenGillibrand ,16-Jan,9-Jan,23-Jan,"1,372,829",4," 1,330,000 ","2,150", 0.00 ,0,0
5,1, Kirsten Gillibrand, SenGillibrand ,16-Jan,9-Jan,23-Jan,"1,372,830",5," 1,330,000 ","1,950", 0.00 ,0,0
5,1, Kirsten Gillibrand, SenGillibrand ,16-Jan,9-Jan,23-Jan,"1,372,831",6," 1,330,000 ","2,110", 0.00 ,0,0
6,1, Kirsten Gillibrand, SenGillibrand ,16-Jan,9-Jan,23-Jan,"1,372,832",7," 1,330,000 ","1,710", 0.00 ,0,0
6,1, Amy Klobuchar, amyklobuchar ,10-Feb,3-Feb,17-Feb,"648,435",-7," 575,050 ",865,,0,0
6,1, Amy Klobuchar, amyklobuchar ,10-Feb,3-Feb,17-Feb,"648,436",-6," 575,800 ",753, 0.00 ,0,0
6,1, Amy Klobuchar, amyklobuchar ,10-Feb,3-Feb,17-Feb,"648,437",-5," 576,210 ",411, 0.00 ,0,0
6,1, Amy Klobuchar, amyklobuchar ,10-Feb,3-Feb,17-Feb,"648,438",-4," 578,830 ",2620, 0.00 ,0,0
6,1, Amy Klobuchar, amyklobuchar ,10-Feb,3-Feb,17-Feb,"648,439",-3," 581,780 ",2955, 0.01 ,0,0
